remark,"CSV-Import-Export"
remark,"Date = Sun Jun 06 10:11:56 2021"
remark,"Version = RSLogix 5000 v20.04"
remark,"Owner = Vail Resorts, Inc."
remark,"Company = Vail Resorts, Inc."
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,RMC00:1:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:1:I,"","","RMC00:I.Slot[1]","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:1:O,"","","RMC00:O.Slot[1]","(ExternalAccess := Read/Write)"
TAG,,RMC00:2:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:2:I,"","","RMC00:I.Slot[2]","(ExternalAccess := Read/Write)"
TAG,,RMC00:3:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:3:I,"","","RMC00:I.Slot[3]","(ExternalAccess := Read/Write)"
TAG,,RMC00:4:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:4:I,"","","RMC00:I.Slot[4]","(ExternalAccess := Read/Write)"
TAG,,RMC00:5:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:5:I,"","","RMC00:I.Slot[5]","(ExternalAccess := Read/Write)"
TAG,,RMC00:6:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:6:I,"","","RMC00:I.Slot[6]","(ExternalAccess := Read/Write)"
ALIAS,,RMC00:6:O,"","","RMC00:O.Slot[6]","(ExternalAccess := Read/Write)"
TAG,,RMC00:I,"","AB:1756_ENET_7SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,RMC00:O,"","AB:1756_ENET_7SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,SCADA:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,SCADA:I,"","AB:ETHERNET_MODULE_DINT_8Bytes:I:0","","(ExternalAccess := Read/Write)"
TAG,,SCADA:O,"","AB:ETHERNET_MODULE_DINT_8Bytes:O:0","","(ExternalAccess := Read/Write)"
TAG,,Spacing_D:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,Spacing_D:I,"","AB:ETHERNET_MODULE_INT_24Bytes:I:0","","(ExternalAccess := Read/Write)"
TAG,,Spacing_D:O,"","AB:ETHERNET_MODULE_INT_24Bytes:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:10:C,"","AB:1756_DI:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:10:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
COMMENT,,Local:10:I,"D1313: Drive Cabin Mark Buttons",,"Local:10:I.DATA.0"
COMMENT,,Local:10:I,"D1321: Drive H-Brake Pump Buttons",,"Local:10:I.DATA.1"
COMMENT,,Local:10:I,"D1327: Drive Start Buttons",,"Local:10:I.DATA.2"
COMMENT,,Local:10:I,"D1330: Drive Fast Buttons",,"Local:10:I.DATA.3"
COMMENT,,Local:10:I,"D1332: Drive Desk Normal Stop Button",,"Local:10:I.DATA.4"
COMMENT,,Local:10:I,"D1334: Drive Desk Slow Button",,"Local:10:I.DATA.5"
COMMENT,,Local:10:I,"D1336: Drive Desk Medium Button",,"Local:10:I.DATA.6"
COMMENT,,Local:10:I,"D1406: DAP Normal Stop Button",,"Local:10:I.DATA.7"
COMMENT,,Local:10:I,"D1407: DAP Slow Button",,"Local:10:I.DATA.8"
COMMENT,,Local:10:I,"D1409: DAP Medium Button",,"Local:10:I.DATA.9"
COMMENT,,Local:10:I,"D1424: DDP Normal Stop Button",,"Local:10:I.DATA.10"
COMMENT,,Local:10:I,"D1426: DDP Slow Button",,"Local:10:I.DATA.11"
COMMENT,,Local:10:I,"D1427: DDP Medium Button",,"Local:10:I.DATA.12"
COMMENT,,Local:10:I,"D1712: Drive Arrival A Pulse",,"Local:10:I.DATA.13"
COMMENT,,Local:10:I,"D1714: Drive Departure A Pulse",,"Local:10:I.DATA.14"
COMMENT,,Local:10:I,"D1716: Cable Tach Overspeed #1",,"Local:10:I.DATA.15"
COMMENT,,Local:10:I,"D1718: Cable Tach Overspeed #2",,"Local:10:I.DATA.16"
COMMENT,,Local:10:I,"D2036: Drive Smoke Alarm",,"Local:10:I.DATA.17"
COMMENT,,Local:10:I,"D2126: Brittle Bar Emergency Stop Relay",,"Local:10:I.DATA.18"
COMMENT,,Local:10:I,"D2128: Brittle Bar Emergency Stop Chain",,"Local:10:I.DATA.19"
COMMENT,,Local:10:I,"D2131: Brittle Bar System Bypassed",,"Local:10:I.DATA.20"
COMMENT,,Local:10:I,"D2132: CPS System Bypassed",,"Local:10:I.DATA.21"
COMMENT,,Local:10:I,"D2203: Spacing Control Slow",,"Local:10:I.DATA.22"
COMMENT,,Local:10:I,"D2205: Spacing Control Fast",,"Local:10:I.DATA.23"
COMMENT,,Local:10:I,"D2104: Return Station E-Stop Chain State",,"Local:10:I.DATA.24"
COMMENT,,Local:10:I,"D2305: Drive Fiber Converter Fault",,"Local:10:I.DATA.25"
COMMENT,,Local:10:I,"D2306: Drive E-net Switch Fault",,"Local:10:I.DATA.26"
COMMENT,,Local:10:I,"D3002: PB1 Open OFFLINE Gates",,"Local:10:I.DATA.27"
